Run,Success Rate (%),Success Count,Total Bytes
995,30.00,12,40
996,40.00,16,40
997,72.50,29,40
998,77.50,31,40
999,87.50,35,40
1000,90.00,36,40
1001,22.50,9,40
1002,97.50,39,40
1003,72.50,29,40
1004,100.00,40,40
1005,92.50,37,40
1006,95.00,38,40
1007,60.00,24,40
1008,85.00,34,40
1009,15.00,6,40
1010,45.00,18,40
1011,92.50,37,40
1012,100.00,40,40
1013,22.50,9,40
1014,85.00,34,40
1015,22.50,9,40
1016,47.50,19,40
1017,97.50,39,40
1018,65.00,26,40
1019,27.50,11,40
1020,95.00,38,40
1021,72.50,29,40
1022,65.00,26,40
1023,67.50,27,40
1024,97.50,39,40
1025,95.00,38,40
1026,92.50,37,40
1027,75.00,30,40
1028,95.00,38,40
1029,97.50,39,40
1030,65.00,26,40
1031,90.00,36,40
1032,92.50,37,40
1033,90.00,36,40
1034,97.50,39,40
1035,50.00,20,40
1036,80.00,32,40
1037,92.50,37,40
1038,90.00,36,40
1039,42.50,17,40
1040,50.00,20,40
1041,25.00,10,40
1042,20.00,8,40
1043,22.50,9,40
1044,85.00,34,40
1045,85.00,34,40
1046,100.00,40,40
1047,32.50,13,40
1048,70.00,28,40
1049,75.00,30,40
1050,70.00,28,40
1051,100.00,40,40
1052,90.00,36,40
1053,62.50,25,40
1054,90.00,36,40
1055,85.00,34,40
1056,72.50,29,40
1057,82.50,33,40
1058,97.50,39,40
1059,15.00,6,40
1060,97.50,39,40
1061,27.50,11,40
1062,80.00,32,40
1063,87.50,35,40
1064,82.50,33,40
1065,87.50,35,40
1066,92.50,37,40
1067,100.00,40,40
1068,37.50,15,40
1069,22.50,9,40
1070,40.00,16,40
1071,67.50,27,40
1072,37.50,15,40
1073,97.50,39,40
1074,32.50,13,40
1075,35.00,14,40
1076,97.50,39,40
1077,62.50,25,40
1078,92.50,37,40
1079,37.50,15,40
1080,90.00,36,40
1081,60.00,24,40
1082,97.50,39,40
1083,97.50,39,40
1084,42.50,17,40
1085,60.00,24,40
