Run,Success Rate (%),Success Count,Total Bytes
780,87.50,35,40
781,10.00,4,40
782,25.00,10,40
783,77.50,31,40
784,22.50,9,40
785,97.50,39,40
786,97.50,39,40
787,47.50,19,40
788,67.50,27,40
789,12.50,5,40
790,40.00,16,40
791,100.00,40,40
792,20.00,8,40
793,95.00,38,40
794,90.00,36,40
795,85.00,34,40
796,30.00,12,40
797,90.00,36,40
798,100.00,40,40
799,75.00,30,40
800,87.50,35,40
801,97.50,39,40
802,95.00,38,40
803,70.00,28,40
804,10.00,4,40
805,57.50,23,40
806,72.50,29,40
807,92.50,37,40
808,97.50,39,40
809,97.50,39,40
810,67.50,27,40
811,90.00,36,40
812,100.00,40,40
813,87.50,35,40
814,85.00,34,40
815,27.50,11,40
816,100.00,40,40
817,57.50,23,40
818,62.50,25,40
819,95.00,38,40
820,87.50,35,40
821,85.00,34,40
822,75.00,30,40
823,77.50,31,40
824,45.00,18,40
825,92.50,37,40
826,20.00,8,40
827,97.50,39,40
828,17.50,7,40
829,72.50,29,40
830,75.00,30,40
831,32.50,13,40
832,32.50,13,40
833,47.50,19,40
834,17.50,7,40
835,95.00,38,40
836,52.50,21,40
837,90.00,36,40
838,90.00,36,40
839,37.50,15,40
840,95.00,38,40
841,37.50,15,40
842,100.00,40,40
843,92.50,37,40
844,82.50,33,40
845,50.00,20,40
846,67.50,27,40
847,17.50,7,40
848,20.00,8,40
849,15.00,6,40
850,95.00,38,40
851,45.00,18,40
852,87.50,35,40
853,72.50,29,40
854,95.00,38,40
855,82.50,33,40
856,32.50,13,40
857,45.00,18,40
858,22.50,9,40
859,75.00,30,40
860,75.00,30,40
861,75.00,30,40
862,52.50,21,40
863,40.00,16,40
864,72.50,29,40
865,97.50,39,40
866,50.00,20,40
867,77.50,31,40
868,62.50,25,40
869,17.50,7,40
870,17.50,7,40
871,85.00,34,40
872,85.00,34,40
873,87.50,35,40
874,47.50,19,40
875,92.50,37,40
876,30.00,12,40
877,87.50,35,40
878,60.00,24,40
879,92.50,37,40
880,87.50,35,40
881,90.00,36,40
882,15.00,6,40
883,90.00,36,40
884,67.50,27,40
885,85.00,34,40
886,97.50,39,40
887,32.50,13,40
888,32.50,13,40
889,85.00,34,40
890,82.50,33,40
891,52.50,21,40
892,22.50,9,40
893,95.00,38,40
894,87.50,35,40
895,95.00,38,40
896,60.00,24,40
897,77.50,31,40
898,70.00,28,40
899,65.00,26,40
900,97.50,39,40
901,30.00,12,40
902,95.00,38,40
903,17.50,7,40
904,100.00,40,40
905,100.00,40,40
906,37.50,15,40
907,92.50,37,40
908,97.50,39,40
909,70.00,28,40
910,90.00,36,40
911,35.00,14,40
912,87.50,35,40
913,32.50,13,40
914,87.50,35,40
915,97.50,39,40
916,100.00,40,40
917,77.50,31,40
918,72.50,29,40
919,60.00,24,40
920,70.00,28,40
921,90.00,36,40
922,27.50,11,40
923,92.50,37,40
924,82.50,33,40
925,60.00,24,40
926,95.00,38,40
927,100.00,40,40
928,72.50,29,40
929,100.00,40,40
930,70.00,28,40
931,100.00,40,40
932,65.00,26,40
933,60.00,24,40
934,25.00,10,40
935,85.00,34,40
936,55.00,22,40
937,97.50,39,40
938,95.00,38,40
939,10.00,4,40
940,50.00,20,40
941,37.50,15,40
942,92.50,37,40
943,87.50,35,40
944,70.00,28,40
945,87.50,35,40
946,75.00,30,40
947,95.00,38,40
948,72.50,29,40
949,100.00,40,40
950,62.50,25,40
951,75.00,30,40
952,77.50,31,40
953,95.00,38,40
954,87.50,35,40
955,22.50,9,40
956,100.00,40,40
957,100.00,40,40
958,72.50,29,40
959,40.00,16,40
960,75.00,30,40
961,95.00,38,40
962,92.50,37,40
963,75.00,30,40
964,27.50,11,40
965,75.00,30,40
966,95.00,38,40
967,82.50,33,40
968,62.50,25,40
969,75.00,30,40
970,82.50,33,40
971,87.50,35,40
972,82.50,33,40
973,67.50,27,40
974,32.50,13,40
975,95.00,38,40
976,100.00,40,40
977,100.00,40,40
978,80.00,32,40
979,87.50,35,40
980,17.50,7,40
981,50.00,20,40
982,67.50,27,40
983,22.50,9,40
984,82.50,33,40
985,77.50,31,40
986,82.50,33,40
987,100.00,40,40
988,32.50,13,40
989,95.00,38,40
990,45.00,18,40
991,92.50,37,40
992,42.50,17,40
993,92.50,37,40
994,50.00,20,40
995,65.00,26,40
996,35.00,14,40
997,87.50,35,40
998,92.50,37,40
999,60.00,24,40
1000,30.00,12,40
1001,95.00,38,40
1002,17.50,7,40
1003,87.50,35,40
1004,95.00,38,40
1005,77.50,31,40
1006,97.50,39,40
1007,37.50,15,40
1008,97.50,39,40
1009,97.50,39,40
1010,97.50,39,40
1011,85.00,34,40
1012,70.00,28,40
1013,90.00,36,40
1014,27.50,11,40
1015,92.50,37,40
1016,80.00,32,40
1017,12.50,5,40
1018,82.50,33,40
1019,100.00,40,40
1020,100.00,40,40
1021,95.00,38,40
1022,100.00,40,40
1023,70.00,28,40
1024,67.50,27,40
1025,75.00,30,40
1026,72.50,29,40
1027,95.00,38,40
1028,35.00,14,40
1029,77.50,31,40
1030,25.00,10,40
1031,100.00,40,40
1032,72.50,29,40
1033,55.00,22,40
1034,47.50,19,40
1035,30.00,12,40
1036,70.00,28,40
1037,80.00,32,40
1038,20.00,8,40
1039,87.50,35,40
1040,80.00,32,40
1041,50.00,20,40
1042,80.00,32,40
1043,97.50,39,40
1044,95.00,38,40
1045,90.00,36,40
1046,82.50,33,40
1047,95.00,38,40
1048,97.50,39,40
1049,57.50,23,40
1050,55.00,22,40
1051,92.50,37,40
1052,82.50,33,40
1053,95.00,38,40
1054,100.00,40,40
1055,97.50,39,40
1056,82.50,33,40
1057,87.50,35,40
1058,85.00,34,40
1059,100.00,40,40
1060,100.00,40,40
1061,90.00,36,40
1062,40.00,16,40
1063,67.50,27,40
1064,37.50,15,40
1065,95.00,38,40
1066,70.00,28,40
1067,37.50,15,40
1068,77.50,31,40
1069,77.50,31,40
1070,47.50,19,40
1071,85.00,34,40
1072,25.00,10,40
1073,100.00,40,40
1074,55.00,22,40
1075,90.00,36,40
1076,75.00,30,40
1077,55.00,22,40
1078,30.00,12,40
1079,65.00,26,40
1080,65.00,26,40
1081,95.00,38,40
1082,27.50,11,40
1083,97.50,39,40
1084,35.00,14,40
1085,65.00,26,40
1086,70.00,28,40
1087,65.00,26,40
1088,77.50,31,40
1089,80.00,32,40
1090,30.00,12,40
1091,87.50,35,40
1092,97.50,39,40
1093,42.50,17,40
1094,92.50,37,40
1095,67.50,27,40
1096,90.00,36,40
1097,97.50,39,40
1098,95.00,38,40
1099,87.50,35,40
1100,60.00,24,40
1101,40.00,16,40
1102,95.00,38,40
1103,50.00,20,40
1104,92.50,37,40
1105,82.50,33,40
1106,100.00,40,40
1107,62.50,25,40
1108,65.00,26,40
1109,57.50,23,40
1110,82.50,33,40
1111,97.50,39,40
1112,15.00,6,40
1113,45.00,18,40
1114,35.00,14,40
1115,70.00,28,40
1116,100.00,40,40
1117,25.00,10,40
1118,92.50,37,40
1119,95.00,38,40
1120,75.00,30,40
1121,7.50,3,40
1122,92.50,37,40
1123,72.50,29,40
1124,62.50,25,40
1125,97.50,39,40
1126,97.50,39,40
1127,85.00,34,40
1128,97.50,39,40
1129,57.50,23,40
1130,87.50,35,40
1131,57.50,23,40
1132,15.00,6,40
1133,80.00,32,40
1134,95.00,38,40
1135,95.00,38,40
1136,95.00,38,40
1137,22.50,9,40
1138,95.00,38,40
1139,100.00,40,40
1140,80.00,32,40
1141,35.00,14,40
1142,95.00,38,40
1143,87.50,35,40
1144,62.50,25,40
1145,70.00,28,40
1146,57.50,23,40
1147,100.00,40,40
1148,47.50,19,40
1149,37.50,15,40
1150,70.00,28,40
1151,82.50,33,40
1152,70.00,28,40
1153,100.00,40,40
1154,92.50,37,40
1155,87.50,35,40
1156,92.50,37,40
1157,97.50,39,40
1158,12.50,5,40
1159,72.50,29,40
1160,97.50,39,40
1161,80.00,32,40
1162,70.00,28,40
1163,52.50,21,40
1164,15.00,6,40
1165,65.00,26,40
1166,50.00,20,40
1167,97.50,39,40
1168,100.00,40,40
1169,42.50,17,40
1170,20.00,8,40
1171,72.50,29,40
1172,35.00,14,40
1173,100.00,40,40
1174,77.50,31,40
1175,67.50,27,40
1176,20.00,8,40
1177,92.50,37,40
1178,77.50,31,40
1179,82.50,33,40
1180,95.00,38,40
1181,75.00,30,40
1182,30.00,12,40
1183,70.00,28,40
1184,50.00,20,40
1185,40.00,16,40
1186,97.50,39,40
1187,45.00,18,40
1188,35.00,14,40
1189,57.50,23,40
1190,82.50,33,40
1191,100.00,40,40
1192,97.50,39,40
1193,100.00,40,40
1194,17.50,7,40
1195,37.50,15,40
1196,77.50,31,40
1197,55.00,22,40
1198,72.50,29,40
1199,47.50,19,40
1200,87.50,35,40
1201,77.50,31,40
1202,27.50,11,40
1203,87.50,35,40
1204,97.50,39,40
1205,55.00,22,40
1206,97.50,39,40
1207,70.00,28,40
1208,40.00,16,40
1209,30.00,12,40
1210,45.00,18,40
1211,82.50,33,40
1212,32.50,13,40
1213,95.00,38,40
1214,67.50,27,40
1215,32.50,13,40
1216,42.50,17,40
1217,25.00,10,40
1218,92.50,37,40
1219,100.00,40,40
1220,100.00,40,40
1221,75.00,30,40
1222,37.50,15,40
1223,87.50,35,40
1224,15.00,6,40
1225,87.50,35,40
1226,82.50,33,40
1227,85.00,34,40
1228,90.00,36,40
1229,92.50,37,40
1230,65.00,26,40
1231,52.50,21,40
1232,95.00,38,40
1233,57.50,23,40
1234,27.50,11,40
1235,12.50,5,40
1236,62.50,25,40
1237,27.50,11,40
1238,100.00,40,40
1239,97.50,39,40
1240,80.00,32,40
1241,35.00,14,40
1242,100.00,40,40
1243,67.50,27,40
1244,25.00,10,40
1245,82.50,33,40
1246,25.00,10,40
1247,87.50,35,40
1248,95.00,38,40
1249,65.00,26,40
1250,87.50,35,40
1251,77.50,31,40
1252,75.00,30,40
1253,12.50,5,40
1254,67.50,27,40
1255,97.50,39,40
1256,80.00,32,40
1257,10.00,4,40
1258,55.00,22,40
1259,90.00,36,40
1260,75.00,30,40
1261,40.00,16,40
1262,95.00,38,40
1263,100.00,40,40
1264,35.00,14,40
1265,100.00,40,40
1266,55.00,22,40
1267,72.50,29,40
1268,87.50,35,40
1269,85.00,34,40
1270,87.50,35,40
1271,37.50,15,40
1272,77.50,31,40
1273,27.50,11,40
1274,15.00,6,40
1275,97.50,39,40
1276,100.00,40,40
1277,20.00,8,40
1278,82.50,33,40
1279,100.00,40,40
1280,77.50,31,40
1281,62.50,25,40
1282,100.00,40,40
1283,100.00,40,40
1284,92.50,37,40
1285,95.00,38,40
1286,42.50,17,40
1287,80.00,32,40
1288,82.50,33,40
1289,72.50,29,40
1290,95.00,38,40
1291,92.50,37,40
1292,97.50,39,40
1293,52.50,21,40
1294,52.50,21,40
1295,90.00,36,40
1296,75.00,30,40
1297,12.50,5,40
1298,70.00,28,40
1299,37.50,15,40
1300,82.50,33,40
1301,87.50,35,40
1302,97.50,39,40
1303,95.00,38,40
1304,72.50,29,40
1305,92.50,37,40
1306,97.50,39,40
1307,55.00,22,40
1308,55.00,22,40
1309,62.50,25,40
1310,70.00,28,40
1311,92.50,37,40
1312,97.50,39,40
1313,80.00,32,40
1314,22.50,9,40
1315,92.50,37,40
1316,25.00,10,40
1317,95.00,38,40
1318,32.50,13,40
1319,30.00,12,40
1320,37.50,15,40
1321,87.50,35,40
1322,92.50,37,40
1323,100.00,40,40
1324,50.00,20,40
1325,100.00,40,40
1326,100.00,40,40
1327,85.00,34,40
1328,25.00,10,40
1329,95.00,38,40
1330,92.50,37,40
1331,90.00,36,40
1332,75.00,30,40
1333,45.00,18,40
1334,30.00,12,40
1335,45.00,18,40
1336,100.00,40,40
1337,27.50,11,40
1338,95.00,38,40
1339,45.00,18,40
1340,97.50,39,40
1341,100.00,40,40
1342,75.00,30,40
1343,82.50,33,40
1344,97.50,39,40
1345,12.50,5,40
1346,22.50,9,40
1347,100.00,40,40
1348,27.50,11,40
1349,87.50,35,40
1350,60.00,24,40
1351,30.00,12,40
1352,100.00,40,40
1353,100.00,40,40
1354,75.00,30,40
1355,15.00,6,40
